"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","ExternalReference","DistributionChannel","Culture","X1_neu_vale","X1_neu_arou","X1_neu_feel","X1_neu_desc","X2_hap_vale","X2_hap_arou","X2_hap_feel","X2_hap_desc","X3_han_vale","X3_han_arou","X3_han_feel","X3_han_desc","X4_neu_vale","X4_neu_arou","X4_neu_feel","X4_neu_desc","X5_han_vale","X5_han_arou","X5_han_feel","X5_han_desc","X6_hap_vale","X6_hap_arou","X6_hap_feel","X6_hap_desc","X7_han_vale","X7_han_arou","X7_han_feel","X7_han_desc","X8_hap_vale","X8_hap_arou","X8_hap_feel","X8_hap_desc","X9_han_vale","X9_han_arou","X9_han_feel","X9_han_desc","X10_hap_vale","X10_hap_arou","X10_hap_feel","X10_hap_desc","X11_neu_vale","X11_neu_arou","X11_neu_feel","X11_neu_desc","X12_hap_vale","X12_hap_arou","X12_hap_feel","X12_hap_desc","X13_neu_vale","X13_neu_arou","X13_neu_feel","X13_neu_desc","X14_neu_vale","X14_neu_arou","X14_neu_feel","X14_neu_desc","X15_han_vale","X15_han_arou","X15_han_feel","X15_han_desc","X16_han_vale","X16_han_arou","X16_han_feel","X16_han_desc","X17_hap_vale","X17_hap_arou","X17_hap_feel","X17_hap_desc","X18_neu_vale","X18_neu_arou","X18_neu_feel","X18_neu_desc","X19_han_vale","X19_han_arou","X19_han_feel","X19_han_desc","X20_hap_vale","X20_hap_arou","X20_hap_feel","X20_hap_desc","X21_neu_vale","X21_neu_arou","X21_neu_feel","X21_neu_desc","X22_han_vale","X22_han_arou","X22_han_feel","X22_han_desc","X23_hap_vale","X23_hap_arou","X23_hap_feel","X23_hap_desc","X24_hap_vale","X24_hap_arou","X24_hap_feel","X24_hap_desc","X25_neu_vale","X25_neu_arou","X25_neu_feel","X25_neu_desc","X26_han_vale","X26_han_arou","X26_han_feel","X26_han_desc","X27_neu_vale","X27_neu_arou","X27_neu_feel","X27_neu_desc","X28_han_vale","X28_han_arou","X28_han_feel","X28_han_desc","X29_hap_vale","X29_hap_arou","X29_hap_feel","X29_hap_desc","X30_hap_vale","X30_hap_arou","X30_hap_feel","X30_hap_desc","X31_neu_vale","X31_neu_arou","X31_neu_feel","X31_neu_desc","X32_han_vale","X32_han_arou","X32_han_feel","X32_han_desc","X33_hap_vale","X33_hap_arou","X33_hap_feel","X33_hap_desc","X34_han_vale","X34_han_arou","X34_han_feel","X34_han_desc","X35_han_vale","X35_han_arou","X35_han_feel","X35_han_desc","X36_hap_vale","X36_hap_arou","X36_hap_feel","X36_hap_desc","X37_neu_vale","X37_neu_arou","X37_neu_feel","X37_neu_desc","X38_neu_vale","X38_neu_arou","X38_neu_feel","X38_neu_desc","X39_han_vale","X39_han_arou","X39_han_feel","X39_han_desc","X40_hap_vale","X40_hap_arou","X40_hap_feel","X40_hap_desc","X41_hap_vale","X41_hap_arou","X41_hap_feel","X41_hap_desc","X42_neu_vale","X42_neu_arou","X42_neu_feel","X42_neu_desc","X43_han_vale","X43_han_arou","X43_han_feel","X43_han_desc","X44_neu_vale","X44_neu_arou","X44_neu_feel","X44_neu_desc","X45_han_vale","X45_han_arou","X45_han_feel","X45_han_desc","X46_neu_vale","X46_neu_arou","X46_neu_feel","X46_neu_desc","X47_hap_vale","X47_hap_arou","X47_hap_feel","X47_hap_desc","X48_neu_vale","X48_neu_arou","X48_neu_feel","X48_neu_desc","r.enthusiastic","r.astonished","r.nervous","r.dull","r.quiet","r.relaxed","r.excited","r.surprised","r.elated","r.sleepy","r.still","r.lonely","r.strong","r.passive","r.content","r.sluggish","r.inactive","r.sad","r.euphoric","r.fearful","r.happy","r.idle","r.calm","r.unhappy","r.aroused","r.hostile","r.satisfied","r.rested","r.peaceful","r.serene","r.noemotion","r.energetic","r.ashamed","r.disgusted","r.stressed","r.guilty","r.contemptuous","r.fatigued","r.angry","i.enthusiastic","i.astonished","i.nervous","i.dull","i.quiet","i.relaxed","i.excited","i.surprised","i.elated","i.sleepy","i.still","i.lonely","i.strong","i.passive","i.content","i.sluggish","i.inactive","i.sad","i.euphoric","i.fearful","i.happy","i.idle","i.calm","i.unhappy","i.aroused","i.hostile","i.satisfied","i.rested","i.peaceful","i.serene","i.noemotion","i.energetic","i.ashamed","i.disgusted","i.stressed","i.guilty","i.contemptuous","i.fatigued","i.angry","age","gender","gender_3_TEXT","didbefore","didbefore_","purpose","device","errors"
"1","2026-01-09 15:46:06","2026-01-09 16:09:22","0","100","1395","1","2026-01-09 16:09:22","R_5BwVwZlINbhRxS5","","anonymous","EA",4,2,14,15,7,6,9,10,1,1,4,3,4,1,15,14,1,1,4,1,6,6,12,10,1,1,2,1,5,4,12,10,4,2,6,6,6,5,9,13,4,1,14,14,6,6,9,12,3,1,11,14,4,1,15,15,1,1,4,4,1,1,4,4,5,4,6,9,4,1,15,15,1,1,4,4,7,5,9,10,3,2,6,6,1,1,3,1,6,6,12,12,6,7,13,9,5,3,14,15,1,1,2,2,4,1,14,14,1,1,3,4,6,5,11,13,5,4,10,13,4,1,14,14,1,1,6,4,6,4,10,10,1,1,4,4,1,1,3,4,7,6,10,10,4,1,15,14,4,2,8,14,1,1,4,1,6,4,10,12,5,4,3,10,4,1,15,14,1,1,3,6,4,1,14,15,3,1,4,4,4,1,15,15,7,7,12,9,4,1,15,14,2,3,3,1,2,2,2,2,1,3,2,2,2,3,2,3,1,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,1,3,4,1,2,2,3,4,2,1,1,3,4,2,2,3,1,2,1,5,3,4,1,1,1,2,1,5,2,4,1,2,1,4,4,4,3,1,5,1,1,1,1,1,1,1,60,"2","","1","It was a study that focused on my feelings, but while I was working. ","I think the purpose might have been to see how certain sights that we come across in our daily lives would affect us. ","1","No problems at all. "
"2","2026-01-09 15:55:14","2026-01-09 16:20:05","0","100","1490","1","2026-01-09 16:20:05","R_5G2MVLrGx5eIuh6","","anonymous","EA",6,3,14,14,5,3,10,10,1,6,4,4,6,2,14,14,1,6,1,1,5,2,6,6,1,6,1,6,6,3,6,6,3,3,3,3,6,5,9,14,6,3,8,8,3,4,6,6,6,1,8,8,4,1,15,15,1,6,4,4,1,4,4,4,4,4,6,6,4,2,14,14,1,4,2,4,6,4,10,10,5,2,5,5,1,5,1,6,5,3,6,6,6,3,6,6,6,4,12,12,1,5,1,4,6,4,12,9,1,5,4,4,7,2,14,14,6,5,10,6,6,3,8,8,1,6,3,3,5,2,6,6,1,4,6,6,1,5,4,4,4,3,6,14,3,1,5,7,6,6,9,9,1,6,1,1,5,5,6,7,2,5,6,6,3,2,6,14,1,5,4,4,5,2,11,14,2,3,4,4,4,1,14,14,6,5,9,10,4,2,7,7,3,2,4,2,3,2,2,2,3,4,1,3,2,4,3,4,2,2,1,2,4,2,3,2,2,1,4,2,2,2,1,2,2,2,4,2,1,4,2,2,2,1,1,3,4,2,2,3,2,3,1,4,2,5,1,2,1,1,1,5,2,3,1,2,1,5,5,5,5,1,4,1,1,1,1,1,1,1,NA,"2","","2","","To perceive how we feel and how we actually want to feel","1","No"
"3","2026-01-09 15:52:55","2026-01-09 16:26:38","0","100","2022","1","2026-01-09 16:26:38","R_5q8c4FEK6MwIiUe","","anonymous","EA",5,5,6,11,6,4,9,12,1,7,2,3,5,2,8,8,1,7,4,4,6,5,12,13,1,6,1,3,7,6,10,10,1,5,6,3,6,5,9,12,4,4,15,14,5,5,12,10,4,1,15,14,4,1,15,14,1,6,3,3,2,5,6,11,7,6,9,10,4,2,15,14,1,6,2,3,6,6,12,10,4,1,15,14,1,6,3,3,6,6,12,9,6,5,10,12,4,2,5,15,1,7,4,2,4,1,15,14,1,6,4,3,7,7,13,12,7,7,10,10,4,4,5,5,3,6,6,3,6,6,10,12,1,5,3,2,1,4,2,1,7,6,10,10,4,1,15,14,4,1,8,14,1,6,6,3,6,3,14,10,3,5,6,11,4,1,15,15,2,6,3,4,4,1,15,14,3,5,6,11,4,1,15,14,7,6,12,9,4,2,15,14,4,2,1,1,2,4,2,2,3,2,2,1,4,2,4,3,1,1,3,2,4,2,4,1,4,1,5,4,4,4,1,4,1,1,2,1,1,2,2,5,4,1,1,3,5,4,3,5,1,3,1,5,1,5,1,1,1,5,1,5,1,5,1,4,1,5,5,5,5,2,5,1,1,1,1,1,1,1,52,"1","","2","","Relating emotions to images","1","None"
"4","2026-01-09 16:54:22","2026-01-09 17:26:21","0","100","1919","1","2026-01-09 17:26:22","R_6Dbpg6gSkarABYB","","anonymous","EA",5,1,14,12,5,3,10,10,2,3,3,3,5,1,8,8,1,4,3,4,5,2,10,10,1,2,3,1,7,3,10,13,2,3,6,3,3,2,5,10,5,1,8,9,5,2,10,10,5,1,14,8,4,1,14,14,1,2,4,4,2,2,6,6,5,2,10,9,3,2,2,4,1,3,2,6,7,2,10,10,3,1,4,4,3,2,3,1,5,2,10,10,6,2,10,10,5,1,8,6,2,2,3,3,4,1,5,8,1,3,4,4,5,2,6,12,5,3,10,10,5,1,7,7,2,3,3,3,5,2,10,10,1,2,6,4,1,3,3,4,5,3,10,10,3,1,5,5,5,1,8,8,2,2,3,3,5,3,12,12,2,2,3,3,3,2,7,8,3,2,3,4,5,1,14,14,1,2,3,3,3,1,5,14,6,2,9,10,3,2,5,7,4,4,2,2,3,3,4,2,4,2,3,2,4,2,5,2,2,2,3,1,4,2,4,1,2,1,4,4,4,4,2,4,2,2,2,2,1,2,2,4,4,1,1,3,4,4,2,5,2,2,1,5,1,5,1,1,1,4,1,5,2,4,1,2,1,5,5,5,5,1,4,1,1,1,1,1,1,1,68,"2","","2","","To assess how people of different temperaments react to violence and other activities.","2","No"
"5","2026-01-09 17:16:23","2026-01-09 17:40:04","0","100","1421","1","2026-01-09 17:40:05","R_1S65kxYUlARwpGA","","anonymous","EA",4,1,8,15,7,5,9,12,1,7,6,3,4,3,8,8,1,7,6,6,6,6,12,12,2,5,6,11,6,6,12,12,6,4,9,9,6,7,12,12,4,3,9,8,5,5,12,12,4,1,8,8,4,1,15,8,1,7,6,3,1,7,3,6,7,5,13,13,4,1,14,14,2,5,6,6,7,6,9,9,3,1,5,14,1,4,4,1,6,4,12,12,6,5,12,10,4,1,15,15,1,6,3,3,4,3,15,15,1,7,4,4,7,7,12,12,7,7,13,12,4,1,15,15,1,7,3,3,7,6,10,12,1,7,6,6,1,7,3,3,7,4,12,12,6,1,5,14,4,2,15,15,1,7,3,3,7,5,9,10,5,6,10,12,4,2,8,8,2,7,3,3,4,1,15,14,1,7,3,6,4,1,15,14,7,6,9,9,4,1,15,15,3,2,4,2,4,2,2,2,2,3,3,1,3,3,4,3,3,2,3,3,3,2,2,2,3,2,3,1,2,2,1,2,1,1,5,2,1,5,2,3,4,1,1,5,5,3,4,5,1,5,1,5,5,5,1,1,1,5,1,5,3,5,1,3,1,5,5,5,5,1,5,1,1,1,1,1,1,1,42,"2","","2","","evaluate emotions based on visuals","2","none"
"6","2026-01-09 20:03:18","2026-01-09 20:31:45","0","100","1706","1","2026-01-09 20:31:46","R_6ONoBhkQDsuHU3V","","anonymous","EA",4,2,14,14,6,2,12,12,1,3,4,3,5,1,15,14,1,5,3,3,6,4,10,10,1,7,1,3,3,3,6,12,1,5,3,3,6,2,10,10,4,1,15,14,6,4,12,14,4,3,14,14,4,1,15,14,1,2,3,3,1,4,4,3,6,2,10,10,4,1,14,14,1,3,2,3,5,3,12,12,4,1,14,14,1,4,1,3,6,5,12,12,5,6,6,12,4,1,14,14,1,6,3,3,4,2,14,14,1,7,3,3,4,5,6,12,3,6,6,10,5,1,14,8,1,5,3,3,6,5,12,12,1,3,3,3,1,5,6,2,6,5,9,6,3,2,6,14,4,2,6,14,1,4,3,3,7,7,9,10,3,7,3,10,4,2,6,14,2,3,3,3,3,2,11,14,1,2,3,3,3,1,6,14,5,2,6,13,4,1,6,14,1,2,5,3,4,1,1,1,1,5,1,2,3,3,2,4,1,2,1,1,2,1,1,3,3,3,1,1,1,1,4,1,1,2,5,1,1,5,4,3,2,2,2,3,4,3,2,2,1,3,1,5,2,4,1,1,1,2,1,4,1,3,1,4,1,3,5,3,3,2,3,1,1,1,1,1,1,1,33,"2","","2","","To see how effected we are by propaganda and the photos that are used to evoke a certain emotion.","2","No"
"7","2026-01-12 11:47:09","2026-01-12 11:57:26","0","100","616","1","2026-01-12 11:57:27","R_62MxjYSEouPJkFz","","anonymous","EA",3,5,6,6,6,5,9,9,1,5,4,4,5,3,14,14,1,6,4,4,7,6,12,12,2,6,6,6,6,6,12,12,1,6,6,6,6,5,12,12,4,1,15,15,6,5,12,12,4,1,8,8,4,4,14,14,1,5,6,3,1,7,4,4,7,6,12,12,3,3,14,14,1,7,3,3,7,4,9,9,4,4,8,8,2,7,6,6,7,6,12,12,5,5,12,12,4,4,8,8,1,7,2,3,3,1,7,14,1,3,6,3,6,6,6,6,7,6,12,12,3,1,14,14,1,7,3,3,7,7,12,12,1,7,3,3,1,3,4,4,6,6,3,12,4,4,8,8,6,3,8,8,1,6,4,4,7,7,10,10,6,7,10,10,4,1,8,8,1,7,3,3,4,4,14,14,1,5,4,4,4,4,8,8,6,6,10,10,4,4,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"2","","2","","To see what reactions images provoke","2","No"
"8","2026-01-12 13:17:45","2026-01-12 13:38:06","0","100","1220","1","2026-01-12 13:38:07","R_7N3Q2AB5nbxOpcw","","anonymous","EA",5,3,14,14,6,5,13,13,1,7,1,4,4,5,5,14,1,6,4,4,7,5,12,13,1,6,2,1,7,6,10,12,2,4,6,1,6,4,10,12,5,2,8,14,6,5,7,12,4,2,14,14,3,7,6,14,1,5,6,4,1,6,6,6,7,6,13,13,3,3,5,5,1,6,3,3,7,6,13,13,4,2,14,14,1,6,1,1,6,7,12,12,6,4,12,8,6,3,12,14,1,6,2,1,5,1,5,14,1,6,6,4,7,6,11,13,6,5,10,6,5,3,5,5,2,6,11,3,7,5,13,13,1,7,6,4,1,5,3,3,5,6,14,10,4,2,14,14,4,1,14,14,1,7,1,4,7,6,10,13,6,7,12,12,4,1,14,14,2,6,3,3,4,1,14,14,1,7,3,3,4,1,14,8,6,6,12,13,3,3,5,5,4,2,2,3,2,2,3,2,2,2,2,1,2,2,3,2,3,1,3,1,2,3,2,3,2,3,3,4,2,1,3,3,1,1,3,2,2,2,2,4,2,1,1,2,4,3,2,2,2,3,1,5,2,5,1,2,1,4,1,4,1,3,1,3,1,5,5,3,3,1,5,1,1,1,1,1,1,1,23,"3","Non-binary","2","","Perhaps to understand how demographics influence perception of imagery.","2","no"
"9","2026-01-12 13:02:09","2026-01-12 14:31:18","0","100","5349","1","2026-01-12 14:31:19","R_6ISkO8V0pMqsg1B","","anonymous","EA",4,7,10,12,7,6,10,10,1,5,4,1,4,2,5,14,1,1,4,11,7,7,10,13,1,1,1,2,6,4,14,10,1,6,4,3,5,2,7,10,4,2,14,15,6,5,10,10,4,1,15,15,4,2,6,14,1,4,6,10,2,4,4,6,5,4,10,10,4,1,14,15,1,4,2,3,7,4,9,12,4,1,14,15,1,3,6,3,7,7,10,12,5,3,12,10,5,3,9,14,1,5,6,1,7,7,10,7,1,6,4,4,3,3,7,9,5,5,6,10,4,2,14,15,3,4,10,6,7,5,10,10,1,2,11,4,1,5,1,2,4,2,15,14,4,1,14,15,6,2,8,8,1,4,6,1,7,6,10,10,7,5,12,10,4,1,15,14,1,5,6,6,4,1,14,14,3,4,6,6,2,2,14,15,7,5,10,9,4,4,14,15,1,2,3,4,3,1,2,2,2,4,2,5,2,3,1,4,4,5,1,3,2,4,2,4,2,3,1,2,3,3,3,2,3,4,5,4,2,4,2,4,1,1,2,3,4,3,3,5,2,3,2,4,3,5,1,1,1,5,1,5,2,5,1,4,1,5,5,5,5,2,5,1,1,1,1,1,1,1,32,"2","","2","","Yo judge how people react and feel about things, and if/what amount of society those people have ""normal"" emotional and perceived feelings about those things and what normal actually is","1","N/A"
"10","2026-01-12 18:23:52","2026-01-12 18:41:42","0","100","1070","1","2026-01-12 18:41:43","R_3PhPMDTiXldNCFV","","anonymous","EA",6,4,9,8,6,4,9,9,1,1,1,1,4,2,15,15,3,4,14,14,6,4,12,12,1,4,4,3,6,4,12,12,5,3,11,11,7,5,10,10,4,1,15,15,6,6,10,12,4,1,15,15,4,1,15,15,1,1,1,1,2,2,11,11,6,3,15,15,3,2,14,14,1,5,2,2,6,5,10,12,3,2,15,15,1,4,2,3,6,5,12,12,5,4,10,9,4,2,14,14,3,4,6,6,4,1,15,15,1,5,4,3,4,4,14,10,4,4,10,10,3,3,14,14,1,5,3,3,7,6,13,10,1,3,4,4,2,3,3,4,4,4,13,13,4,1,15,15,4,1,5,5,1,5,1,4,7,5,10,12,3,4,6,6,5,3,15,15,2,4,6,6,4,1,5,5,3,4,11,11,4,1,15,15,6,4,10,9,4,2,5,5,3,2,4,3,2,3,3,3,3,3,1,3,2,3,4,2,3,4,3,2,3,2,3,3,4,2,3,3,3,3,1,4,3,3,4,2,3,4,2,4,4,3,2,2,3,4,3,3,3,2,3,3,2,3,2,2,3,3,2,4,2,3,4,4,1,3,2,3,3,3,4,2,3,4,2,3,3,2,36,"2","","2","","To understand what types of images the public responds comparable to others ","1","No "
