trial,imgID,imgURL,mood,faceCode,faceGender,faceRace,faceEmotion
1,0028,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_6xn0uCMyz5Av73D,Neutral,MWE,Male,White,Excited
2,2073,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_72FyWc9Boz3LoxL,HAP,FWN,Female,White,Neutral
3,0047,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_3sg3mYjca2wDfBH,Neutral,MAC,Male,Asian,Calm
4,2021,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_5dKUQfFWHL6yWyh,HAP,FAE,Female,Asian,Excited
5,5005,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3PH3PvVrdAau4UB,HAN,MWN,Male,White,Neutral
6,2014,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_80xUOKcTQyU4RJb,HAP,FWC,Female,White,Calm
7,0075,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_cYGcamlgshUC98x,Neutral,MAE,Male,Asian,Excited
8,5017,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4HMnjzQouGMjQKp,HAN,FAN,Female,Asian,Neutral
9,2031,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8BKmHcZf2xB5XH7,HAP,MWC,Male,White,Calm
10,5020,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Lkx4tvwjeVJ0Hz,HAN,FWE,Female,White,Excited
11,5011,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88kKgGcKgRXNVOJ,HAN,MAN,Male,Asian,Neutral
12,0033,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_6Qk2agiyrhb4lVj,Neutral,FAC,Female,Asian,Calm
13,5007,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0J5VA1Mnc14tIu9,HAN,MWE,Male,White,Excited
14,0030,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_0TAr6wvB49roMT3,Neutral,FWN,Female,White,Neutral
15,2034,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_5nH2Dx21mREN2ct,HAP,MAC,Male,Asian,Calm
16,5002,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0vlX8Hxk52Le9p3,HAN,FAE,Female,Asian,Excited
17,2003,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8oaNSIGNlbPjQDH,HAP,MWN,Male,White,Neutral
18,0069,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_erl7ELr4TEZAwPr,Neutral,FWC,Female,White,Calm
19,5006,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_578lh3cL8WmTaM5,HAN,MAE,Male,Asian,Excited
20,0029,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_cZ99A2kLGz4gk2V,Neutral,FAN,Female,Asian,Neutral
21,5025,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_74bw3P9pyRd8Xk1,HAN,MWC,Male,White,Calm
22,0059,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_5tmf6h0V5YPZmDj,Neutral,FWE,Female,White,Excited
23,2024,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8uKTRqWngUENhQh,HAP,MAN,Male,Asian,Neutral
24,2022,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_80NE5jgQ0wqx4fr,HAP,FAC,Female,Asian,Calm
25,2032,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_bEi2IypYSfCx4i1,HAP,MWE,Male,White,Excited
26,5027,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cXSvfRSbqOyzmPX,HAN,FWN,Female,White,Neutral
27,5001,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GjOYMltWRBWkXX,HAN,MAC,Male,Asian,Calm
28,0071,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_879b57PAAdZ54X3,Neutral,FAE,Female,Asian,Excited
29,0066,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_6tbKBShVoWrU68J,Neutral,MWN,Male,White,Neutral
30,5022,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0U5Vq4DKf1lSQUl,HAN,FWC,Female,White,Calm
31,2086,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9LUNXN54QrQIyjj,HAP,MAE,Male,Asian,Excited
32,2066,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8weXWXnsMLOZGi9,HAP,FAN,Female,Asian,Neutral
33,0017,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_9H4QnBm6RFfo48l,Neutral,MWC,Male,White,Calm
34,2005,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_40XFAlDXYQ5qhHT,HAP,FWE,Female,White,Excited
35,0062,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_cPbt9kbMKbTueLH,Neutral,MAN,Male,Asian,Neutral
36,5009,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3Jfv0ERUqYorifz,HAN,FAC,Female,Asian,Calm
