"","subID","cultureEA","avatar_ori","prac1","prac1_rt_Page.Submit","raw1","raw1_rt_Page.Submit","raw2","raw2_rt_Page.Submit","raw3","seq3_rt_Page.Submit","raw4","raw4_rt_Page.Submit","raw5","raw5_rt_Page.Submit","raw6","raw6_rt_Page.Submit","raw7","raw7_rt_Page.Submit","raw8","raw8_rt_Page.Submit","raw9","raw9_rt_Page.Submit","raw10","raw10_rt_Page.Submit","raw11","raw11_rt_Page.Submit","raw12","raw12_rt_Page.Submit","raw13","raw13_rt_Page.Submit","raw14","raw14_rt_Page.Submit","raw15","raw15_rt_Page.Submit","raw16","raw16_rt_Page.Submit","raw17","raw17_rt_Page.Submit","raw18","raw18_rt_Page.Submit","raw19","raw19_rt_Page.Submit","raw20","raw20_rt_Page.Submit","raw21","raw21_rt_Page.Submit","raw22","raw22_rt_Page.Submit","raw23","raw23_rt_Page.Submit","raw24","raw24_rt_Page.Submit","raw25","raw25_rt_Page.Submit","raw26","raw26_rt_Page.Submit","raw27","raw27_rt_Page.Submit","raw28","raw28_rt_Page.Submit","raw29","raw29_rt_Page.Submit","raw30","raw30_rt_Page.Submit","raw31","raw31_rt_Page.Submit","raw32","raw32_rt_Page.Submit","raw33","raw33_rt_Page.Submit","raw34","raw34_rt_Page.Submit","raw35","raw35_rt_Page.Submit","raw36","raw36_rt_Page.Submit","vale1","arou1","trait1_Competent","trait1_Trustworthy","trait1_FinanciallyNeedy","trait1_Dominant","trait1_Selfish","trait1_Friendly","trait1_aGoodPerson","vale2","arou2","trait2_Competent","trait2_Trustworthy","trait2_FinanciallyNeedy","trait2_Dominant","trait2_Selfish","trait2_Friendly","trait2_aGoodPerson","vale3","arou3","trait3_Competent","trait3_Trustworthy","trait3_FinanciallyNeedy","trait3_Dominant","trait3_Selfish","trait3_Friendly","trait3_aGoodPerson","vale4","arou4","trait4_Competent","trait4_Trustworthy","trait4_FinanciallyNeedy","trait4_Dominant","trait4_Selfish","trait4_Friendly","trait4_aGoodPerson","vale5","arou5","trait5_Competent","trait5_Trustworthy","trait5_FinanciallyNeedy","trait5_Dominant","trait5_Selfish","trait5_Friendly","trait5_aGoodPerson","vale6","arou6","trait6_Competent","trait6_Trustworthy","trait6_FinanciallyNeedy","trait6_Dominant","trait6_Selfish","trait6_Friendly","trait6_aGoodPerson","vale7","arou7","trait7_Competent","trait7_Trustworthy","trait7_FinanciallyNeedy","trait7_Dominant","trait7_Selfish","trait7_Friendly","trait7_aGoodPerson","vale8","arou8","trait8_Competent","trait8_Trustworthy","trait8_FinanciallyNeedy","trait8_Dominant","trait8_Selfish","trait8_Friendly","trait8_aGoodPerson","vale9","arou9","trait9_Competent","trait9_Trustworthy","trait9_FinanciallyNeedy","trait9_Dominant","trait9_Selfish","trait9_Friendly","trait9_aGoodPerson","vale10","arou10","trait10_Competent","trait10_Trustworthy","trait10_FinanciallyNeedy","trait10_Dominant","trait10_Selfish","trait10_Friendly","trait10_aGoodPerson","vale11","arou11","trait11_Competent","trait11_Trustworthy","trait11_FinanciallyNeedy","trait11_Dominant","trait11_Selfish","trait11_Friendly","trait11_aGoodPerson","vale12","arou12","trait12_Competent","trait12_Trustworthy","trait12_FinanciallyNeedy","trait12_Dominant","trait12_Selfish","trait12_Friendly","trait12_aGoodPerson","vale13","arou13","trait13_Competent","trait13_Trustworthy","trait13_FinanciallyNeedy","trait13_Dominant","trait13_Selfish","trait13_Friendly","trait13_aGoodPerson","vale14","arou14","trait14_Competent","trait14_Trustworthy","trait14_FinanciallyNeedy","trait14_Dominant","trait14_Selfish","trait14_Friendly","trait14_aGoodPerson","vale15","arou15","trait15_Competent","trait15_Trustworthy","trait15_FinanciallyNeedy","trait15_Dominant","trait15_Selfish","trait15_Friendly","trait15_aGoodPerson","vale16","arou16","trait16_Competent","trait16_Trustworthy","trait16_FinanciallyNeedy","trait16_Dominant","trait16_Selfish","trait16_Friendly","trait16_aGoodPerson","vale17","arou17","trait17_Competent","trait17_Trustworthy","trait17_FinanciallyNeedy","trait17_Dominant","trait17_Selfish","trait17_Friendly","trait17_aGoodPerson","vale18","arou18","trait18_Competent","trait18_Trustworthy","trait18_FinanciallyNeedy","trait18_Dominant","trait18_Selfish","trait18_Friendly","trait18_aGoodPerson","r1_1","r1_2","r1_3","r1_4","r1_5","r1_6","r1_7","r1_8","r1_9","r1_10","r2_1","r2_2","r2_3","r2_4","r2_5","r2_6","r2_7","r2_8","r2_9","r2_10","r3_1","r3_2","r3_3","r3_4","r3_5","r3_6","r3_7","r3_8","r3_9","r3_10","r4_1","r4_2","r4_3","r4_4","r4_5","r4_6","r4_7","r4_8","r4_9","i1_1","i1_2","i1_3","i1_4","i1_5","i1_6","i1_7","i1_8","i1_9","i1_10","i2_1","i2_2","i2_3","i2_4","i2_5","i2_6","i2_7","i2_8","i2_9","i2_10","i3_1","i3_2","i3_3","i3_4","i3_5","i3_6","i3_7","i3_8","i3_9","i3_10","i4_1","i4_2","i4_3","i4_4","i4_5","i4_6","i4_7","i4_8","i4_9","value_1","value_2","value_3","value_4","value_5","value_6","value_7","value_8","value_9","iri1","iri2","iri3","iri4","iri5","iri6","iri7","iri8","iri9","iri10","iri11","iri12","iri13","iri14","iri15","iri16","iri17","iri18","iri19","iri20","iri21","iri22","iri23","iri24","iri25","iri26","iri27","iri28","tipi_1","tipi_2","tipi_3","tipi_4","tipi_5","tipi_6","tipi_7","tipi_8","tipi_9","tipi_10","age","Q509","Q509_8_TEXT","gender","gender_3_TEXT","sexualpref","sexualpref_5_TEXT","born1","born1_txt","raise1","raise1_txt","born2","born2_txt","raise2","raise2_txt","ethni2","ethni2_txt","born3","born3_txt","raise3","raise3_txt","ethni3","ethni3_txt","born4","born4_txt","raise4","raise4_txt","born5","born5_txt","raise5","raise5_txt","born6","born6_txt","raise6","raise6_txt","born7","born7_txt","raise7","raise7_txt","econ1","econ2","econ2_6_TEXT","ladder1","ladder2","famises1","famises2","econinde","selfses1","selfses2","didbefore","didbefore_","order","famises2_numbered","selfses2_numbered","gender_nonfemale","sexualpref_nonhetero","ethn_nonmajority","exclude_age","exclude_sd"
"1","R_3kbs25YTqvfeS0d",1,"3-b","$6","6.052",4,2.924,0,2.671,4,"2.666",2,2.773,5,4.263,2,2.382,6,2.511,3,10.605,4,8.022,0,4.079,5,4.517,4,3.584,0,2.852,3,1.985,5,3.048,5,13.506,3,3.223,5,1.659,6,3.825,4,3.816,6,3.742,5,6.215,0,6.482,4,10.236,3,41.389,6,3.308,4,2.967,5,31.452,1,4.052,3,9.183,1,13.388,1,2.967,5,2.826,1,7.05,6,5.572,0,46.651,1,6,1,2,4,7,7,1,1,3,4,4,3,3,1,6,5,3,6,3,5,5,3,2,5,4,4,1,6,4,4,4,2,4,5,3,2,5,4,3,3,6,6,2,3,5,4,4,5,4,2,4,5,5,5,4,4,4,3,3,5,5,5,4,4,5,5,3,3,5,5,5,2,4,4,4,4,4,4,4,4,2,2,4,4,4,3,4,4,4,4,3,4,4,4,4,5,6,6,3,5,5,3,2,4,4,5,3,2,4,4,1,5,6,7,3,3,4,5,1,4,5,3,4,3,3,5,3,4,5,5,4,3,2,5,3,3,2,3,3,2,1,1,1,4,4,5,4,4,4,2,2,4,4,4,4,4,3,4,4,4,4,4,2,3,3,2,2,4,2,4,5,2,3,5,1,4,5,5,2,4,3,4,5,3,2,4,2,4,1,1,1,1,2,1,1,3,1,2,5,2,4,1,1,1,2,5,4,2,5,5,3,1,5,1,5,1,1,1,4,1,5,3,4,1,4,1,5,5,5,5,1,4,1,1,1,1,1,1,1,3,0,0,2,3,0,1,0,0,3,4,1,5,4,1,2,4,5,5,3,1,5,2,5,2,5,1,5,4,4,5,3,1,2,3,1,4,2,3,4,4,7,1,1,5,2,1,43,"White/Caucasian/European American","","Female","","Bisexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","Germany","Yes","","No","Germany","No","Germany","No","Germany","No","Germany","No","","",7,7,"Lower-Middleincome","$30,001 -
$40,000","Yes","Middleincome","$50,001 -
$75,000","No","","1",4,6,0,1,0,1,0
"2","R_3nJns4M5jsQqQ0i",1,"4-c","$3","12.744",3,5.082,3,3.38,2,"4.926",4,4.909,0,3.732,5,3.016,5,3.171,5,3.474,5,3.342,2,5.14,4,3.544,5,4.91,0,3.435,4,4.734,2,3.683,0,4.259,2,3.967,4,3.789,0,3.478,2,4.357,0,3.437,1,4.973,2,5.121,3,18.468,2,14.223,1,10.802,3,24.189,4,19.695,1,14.946,3,23.472,4,22.156,2,21.051,3,21.035,4,42.941,2,12.83,2,25.879,5,4,5,5,3,3,3,5,5,2,2,4,2,3,6,5,2,3,6,6,4,5,3,2,2,6,6,5,4,4,5,3,2,2,6,5,3,3,6,4,3,3,3,3,5,6,6,4,5,3,2,2,6,5,5,4,4,5,2,2,2,5,5,2,2,3,2,5,6,6,1,2,7,6,6,6,2,1,1,7,7,5,3,5,4,2,1,1,4,5,3,2,3,3,4,4,5,2,3,4,3,2,3,4,3,2,4,4,5,4,5,6,2,1,2,6,5,3,2,4,3,5,3,4,2,3,5,5,3,3,2,1,3,5,5,5,4,4,4,3,2,3,5,4,4,3,6,4,2,4,2,4,5,6,5,5,5,3,2,2,5,5,4,2,3,2,4,3,4,2,3,3,3,2,4,2,4,3,2,2,4,2,4,3,3,2,4,2,4,3,3,3,2,4,2,2,3,4,2,3,2,5,3,1,1,4,5,5,2,5,1,2,1,5,1,5,1,1,1,4,1,5,1,5,1,4,1,4,5,4,4,1,5,1,1,1,1,1,1,1,4,4,2,3,3,2,4,2,2,5,3,2,2,5,3,3,4,3,5,3,1,2,2,2,4,3,2,2,4,4,3,4,2,2,3,2,3,3,3,6,5,6,6,5,2,3,1,26,"White/Caucasian/European American","","Other (please specify)","Agender","Bisexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",4,3,"Lower-Middleincome","$20,001 -
$30,000","Yes","Lowerincome","$10,001 -
$20,000","No","","4",3,2,1,1,0,0,0
"3","R_2y2aRart7bTtdjd",1,"2-a","$3","5.062",3,3.071,3,2.361,3,"2.65",3,2.472,3,2.497,3,2.401,3,2.714,3,2.246,3,3.155,3,2.201,3,2.409,3,2.994,3,2.913,3,2.184,3,3.1,3,2.828,3,3.011,3,3.661,3,2.634,3,3.79,3,2.634,3,2.283,3,2.442,3,2,3,3.061,3,2.151,3,2.747,3,2.566,3,2.197,3,2.263,3,2.121,3,2.141,3,2.602,3,2.236,3,3.625,3,5.91,5,4,4,4,1,4,1,4,4,4,4,4,4,1,4,1,4,4,6,6,4,4,1,4,1,4,4,4,4,4,4,1,4,1,4,4,4,3,4,4,1,4,1,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,1,4,1,4,4,4,4,5,4,1,5,2,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,1,4,1,4,4,4,5,4,4,1,4,1,4,4,4,4,4,4,1,4,1,5,4,4,4,4,4,1,4,1,4,4,4,4,4,4,1,4,1,4,4,6,6,4,4,1,5,1,6,4,4,4,4,4,1,4,1,5,4,4,4,4,4,1,4,1,4,4,4,4,4,4,1,4,1,5,4,2,2,2,2,3,3,2,2,2,3,3,4,3,4,2,2,2,3,2,2,2,3,3,3,2,2,2,2,3,3,1,2,2,2,2,2,2,2,2,4,3,1,1,2,3,2,3,5,1,2,1,5,1,5,1,2,1,3,1,4,2,2,1,3,1,4,4,3,3,1,4,1,1,1,1,1,1,1,2,2,0,2,2,2,2,2,1,5,5,1,1,4,2,2,5,4,1,4,1,4,4,1,3,3,1,4,4,3,4,4,1,2,4,1,4,3,1,4,3,7,2,6,2,6,1,55,"White/Caucasian/European American","","Male","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","poland","No","romania","Yes","","No","","",6,4,"Middleincome","over
$100,000","Yes","Middleincome","$75,001 -
$100,000","No","","2",8,7,1,0,0,1,1
"4","R_p6mHrrIZRlBGm3L",1,"4-c","$3","10.065",3,3.681,3,4.072,3,"94.456",3,8.969,3,22.262,3,5.438,3,9.752,3,4.62,3,6.72,3,3.533,3,7.3,3,12.671,3,6.188,3,15.961,3,5.852,3,13.229,3,4.717,3,4.032,3,7.857,3,32.007,3,13.484,3,8.601,3,157.43,3,68.822,3,9.3,3,30.363,3,147.568,3,11.235,3,25.156,3,138.098,3,30.073,3,10.695,3,3.562,3,4.777,3,3.882,3,4.885,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,7,1,4,4,4,4,4,4,4,5,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,7,1,4,4,4,4,4,4,4,5,1,4,4,4,4,4,4,4,6,1,4,4,4,4,4,4,4,7,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,7,1,4,4,4,4,4,4,4,6,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,7,1,4,4,4,4,4,4,4,2,1,2,1,5,2,1,3,1,4,1,2,2,2,3,4,4,2,1,1,2,3,2,3,1,3,2,1,1,1,4,1,1,1,5,1,1,4,1,1,1,1,1,2,5,1,1,1,2,3,1,3,2,2,1,1,1,1,1,4,4,5,1,5,1,4,5,4,1,1,5,1,1,1,1,1,1,1,1,4,3,0,2,2,1,2,1,2,4,2,2,1,2,2,4,4,3,5,5,3,2,1,1,1,1,5,3,5,4,1,1,3,1,1,5,1,1,6,3,5,7,5,1,3,1,35,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",3,5,"Lower-Middleincome","$20,001 -
$30,000","Yes","Lower-Middleincome","$10,001 -
$20,000","No","","2",3,2,0,0,0,1,1
"5","R_1Dr57tNwent37hs",1,"4-c","$2","9.968",4,6.769,2,13.954,1,"3.086",4,8.975,0,16.042,5,5.872,5,8.144,5,36.825,2,2.4,6,2.7,3,6.383,4,7.855,1,2.91,4,7.183,3,17.058,1,19.336,2,12.934,1,2.696,4,25.273,5,2.844,4,11.726,0,4.292,2,3.373,3,3.279,2,2.44,2,4.184,2,7.885,2,11.342,3,3.084,4,6.049,2,7.731,2,2.964,1,4.335,4,43.646,1,7.745,2,27.495,6,5,5,5,2,5,2,7,7,4,2,5,3,2,3,4,6,5,5,4,5,6,1,3,2,6,6,5,4,6,5,2,6,5,7,6,3,1,3,4,2,5,6,2,4,5,3,5,6,2,2,2,6,6,7,5,6,6,1,7,3,5,5,4,1,5,3,3,6,6,4,3,5,3,4,5,3,2,5,4,4,7,5,5,4,5,3,3,7,5,4,3,5,3,2,3,2,2,3,5,2,5,3,1,6,5,4,5,7,3,5,3,4,4,4,5,4,4,1,5,4,2,3,6,5,5,5,2,5,4,4,5,2,5,5,7,5,6,5,4,4,5,5,6,3,1,3,4,3,4,5,4,4,5,2,5,6,4,5,5,4,4,2,2,4,4,1,2,3,4,2,4,5,3,2,4,3,4,4,3,2,3,3,2,2,3,3,2,2,1,2,3,2,3,2,2,4,3,2,4,3,2,2,2,2,2,3,2,3,3,4,3,4,3,4,2,3,3,2,2,4,3,2,4,1,3,1,4,5,5,5,2,4,1,1,2,2,3,2,2,2,3,0,3,2,1,3,0,0,4,5,1,3,5,1,4,5,5,5,5,4,5,2,5,5,1,1,5,5,5,5,5,1,5,5,1,5,5,3,5,6,7,5,5,3,3,1,35,"White/Caucasian/European American","","Female","","Bisexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",3,4,"Lowerincome","$40,001 -
$50,000","Yes","Lowerincome","$50,001 -
$75,000","No","","3",5,6,0,1,0,1,0
"6","R_2dQMBuoskjRUraX",1,"2-b","$3","9.158",3,7.357,3,3.593,3,"2.806",3,2.913,3,2.803,3,2.41,3,2.295,3,2.28,3,2.34,3,1.893,3,2.767,3,2.983,3,2.79,3,2.996,3,2.187,3,2.564,3,2.766,3,2.467,3,2.645,3,6.318,3,2.37,3,2.417,3,2.326,3,1.93,3,2.366,3,2.204,3,2.69,3,2.56,3,2.518,3,2.254,3,2.267,3,2.24,3,2.037,3,6.244,3,9.696,3,6.565,5,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,3,4,4,5,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,3,4,4,4,2,1,1,2,4,2,2,2,1,2,1,4,1,4,1,1,1,2,1,4,1,3,1,2,2,4,4,3,2,3,4,2,1,2,1,2,1,2,5,2,1,1,2,5,3,2,3,1,3,1,5,1,4,1,1,1,2,1,5,1,3,1,2,1,5,5,3,3,1,5,1,1,1,1,1,1,1,2,2,0,1,1,0,1,0,0,3,1,3,3,3,1,4,3,3,1,3,2,4,3,3,2,1,2,5,3,5,1,3,1,3,2,1,2,7,6,7,1,7,1,2,2,7,1,66,"White/Caucasian/European American","","Male","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","Ireland","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",7,7,"Upper-Middleincome","$75,001 -
$100,000","Yes","Upper-Middleincome","$50,001 -
$75,000","No","","1",7,6,1,0,0,1,1
"7","R_25EnT1FyXlb3yIO",1,"4-b","$0","17.236",0,3.569,1,3.245,2,"3.664",1,2.706,0,3.013,2,2.678,1,2.798,2,2.268,1,2.569,1,7.946,0,3.223,1,3.711,0,3.244,1,2.649,1,4.09,0,3.734,1,4.229,1,3.563,1,3.63,2,2.504,0,3.198,0,4.261,1,4.021,2,6.736,0,4.908,1,3.706,2,3.74,2,3.998,0,3.364,2,5.614,1,3.71,2,3.703,1,3.61,1,12.737,1,4.4,2,8.725,7,6,7,7,3,1,1,7,7,5,5,7,7,4,5,3,6,7,3,4,3,3,1,1,1,5,6,5,4,3,5,2,5,4,5,6,7,6,7,7,1,2,2,7,7,7,5,4,5,3,3,3,7,7,6,4,7,7,1,6,2,6,6,2,6,4,1,5,7,7,1,2,6,5,7,7,2,2,2,5,6,7,7,7,7,1,3,1,7,7,5,2,7,7,2,5,5,7,6,6,5,5,5,2,2,2,4,4,7,7,7,7,1,1,1,7,7,5,6,7,3,1,4,1,7,5,4,4,4,4,3,5,3,4,2,6,6,7,7,4,4,2,7,7,6,6,7,7,1,1,1,6,5,6,6,7,7,1,4,1,7,7,5,2,2,2,3,2,4,2,4,5,2,1,3,1,1,2,2,2,4,1,4,1,2,2,2,2,2,2,2,2,2,3,1,1,4,3,2,5,2,5,1,1,1,4,3,5,1,5,1,2,1,5,1,2,1,1,2,2,1,5,1,5,1,5,1,5,5,5,5,1,5,1,1,1,1,1,1,1,4,2,0,3,1,0,2,0,0,5,5,1,3,5,1,1,4,5,3,3,1,5,1,4,3,4,1,5,5,5,4,3,1,4,5,1,4,7,1,4,5,7,2,7,1,6,1,25,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","UK","Yes","","No","UK","Yes","","Yes","Major","",7,5,"Middleincome","$50,001 -
$75,000","Yes","Middleincome","$75,001 -
$100,000","No","","4",6,7,0,0,0,0,0
"8","R_1P134XU0rnomVtS",1,"2-a","$0","4.666",0,0.759,0,3.49,0,"0.976",0,2.238,0,0.76,0,1.322,0,0.841,0,1.15,0,2.255,0,5.4,0,2.456,0,2.406,0,6.668,0,0.779,0,0.783,0,1.018,0,1.364,0,0.805,0,1.527,0,1.344,0,0.5,0,0.874,0,4.499,0,3.069,0,1.615,1,2.574,0,2.197,2,15.967,0,3.418,0,5.597,0,2.301,1,186.043,0,56.92,1,6.287,0,5.417,0,20.156,5,6,5,5,4,5,3,3,5,6,4,6,5,5,6,4,6,5,2,7,3,2,3,4,3,5,2,5,4,6,6,5,6,3,6,4,7,7,6,6,3,3,2,6,6,3,5,6,4,5,4,6,4,5,5,6,7,6,6,6,3,5,5,3,3,3,3,3,2,2,5,3,2,1,5,4,5,4,4,3,2,4,5,6,5,5,3,6,4,5,5,6,6,6,4,6,3,3,2,5,5,5,5,4,6,6,5,5,6,5,5,6,7,6,5,6,5,6,5,7,5,5,6,5,5,6,6,5,5,5,4,7,6,5,5,6,5,6,5,3,5,3,5,4,3,1,5,4,6,3,5,4,4,5,1,4,5,6,5,5,5,5,4,1,3,2,2,5,3,2,4,4,4,4,3,4,3,3,5,3,5,4,5,4,3,2,4,3,4,4,3,3,3,3,4,3,3,3,4,4,4,4,4,1,1,1,5,4,2,2,1,1,1,5,3,3,1,1,2,4,2,5,2,3,1,4,1,5,5,5,5,1,4,1,1,1,1,1,1,2,3,4,3,2,4,3,3,4,3,5,4,4,5,5,4,3,4,5,4,4,4,4,4,5,3,5,4,5,5,3,5,4,3,4,4,4,4,6,5,6,4,5,5,5,4,3,3,32,"White/Caucasian/European American","","Male","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",7,7,"Upper-Middleincome","$75,001 -
$100,000","Yes","Upper-Middleincome","$75,001 -
$100,000","No","","4",7,7,1,0,0,1,0
"9","R_Od2jmdhaXRpUZHj",1,"4-a","$3","14.782",1,7.882,3,3.988,1,"4.48",2,7.165,0,2.889,2,4.698,0,4.421,0,3.289,1,3.593,1,3.282,1,2.894,2,2.596,0,2.212,2,2.781,2,2.894,1,4.27,0,2.562,2,2.739,0,1.873,1,2.597,0,4.621,1,3.122,1,4.826,3,3.136,0,3.303,1,2.281,0,2.569,1,2.785,0,3.1,2,2.273,0,4,2,4.908,0,2.261,1,2.393,1,3.242,2,3.337,3,2,1,2,3,7,7,5,3,3,3,4,4,3,4,3,3,5,4,1,4,4,3,5,3,4,4,5,4,4,4,3,5,3,6,4,1,3,3,2,2,6,7,2,2,5,4,4,6,2,3,3,5,5,2,2,3,2,3,5,7,5,3,4,2,5,5,1,2,2,3,4,2,2,1,1,2,6,7,4,2,5,4,4,5,2,5,3,6,5,4,1,4,5,2,3,3,3,4,5,3,5,6,1,3,2,6,6,1,2,1,1,2,7,7,4,2,3,3,4,3,2,5,5,2,4,5,3,5,5,2,4,2,6,5,4,2,4,3,2,5,5,6,5,3,1,3,3,3,5,6,2,4,5,3,5,6,2,3,2,6,6,2,1,3,3,3,3,2,2,2,4,3,2,3,3,3,2,2,2,1,2,3,3,3,2,2,1,2,2,2,2,2,2,2,1,4,1,1,4,1,4,2,1,1,2,5,3,2,2,2,3,1,5,2,5,1,2,1,2,1,4,2,4,1,2,1,4,5,4,4,3,4,1,1,1,1,1,1,1,2,3,2,0,2,2,1,2,2,5,3,2,3,4,4,2,4,4,5,4,2,3,2,2,4,4,2,3,4,4,4,4,3,4,5,3,4,2,3,6,6,6,6,5,2,3,5,24,"White/Caucasian/European American","","Female","","Bisexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",4,4,"Middleincome","$75,001 -
$100,000","Yes","Lower-Middleincome","$20,001 -
$30,000","No","","1",7,3,0,1,0,0,0
"10","R_3QLslVD37REF1kQ",1,"2-b","$4","7.176",2,7.381,3,3.183,1,"4.189",1,4.135,1,3.627,2,2.84,2,3.161,1,3.58,3,2.951,1,2.608,1,2.166,1,2.571,1,14.569,1,3.025,3,2.777,2,3.352,1,4.256,2,4.125,2,3.133,1,2.595,1,3.537,2,1.889,2,2.635,2,2.146,3,2.662,1,2.755,2,2.885,2,1.535,1,2.627,2,5.671,3,4.073,2,3.378,2,5.32,3,2.957,2,3.043,2,4.63,5,3,5,5,2,2,2,6,5,3,2,4,4,3,3,4,3,3,6,5,4,6,2,2,2,6,5,4,2,5,4,3,3,4,4,4,3,2,4,4,4,4,4,4,4,6,4,4,5,2,2,2,5,5,5,3,5,5,2,2,2,6,6,2,2,4,3,4,5,5,3,3,5,4,5,5,2,2,2,5,5,4,2,5,4,2,3,2,5,5,4,1,4,3,2,2,3,4,4,5,4,5,5,2,2,2,5,5,5,4,6,6,3,2,2,6,6,4,2,4,5,3,3,3,5,4,6,5,3,6,2,2,2,6,5,5,3,5,5,2,2,3,5,4,4,2,4,3,4,4,4,3,3,5,4,4,5,3,3,2,6,5,2,1,5,4,4,2,1,1,1,4,2,4,2,5,1,5,4,2,1,1,1,1,2,3,1,1,1,2,4,1,4,1,1,1,4,1,1,3,1,4,2,2,1,3,4,4,2,3,2,4,2,5,3,5,1,1,1,2,1,5,4,4,1,2,1,4,5,5,2,1,4,1,1,2,1,1,1,1,2,4,2,2,4,3,3,2,2,4,4,2,1,4,3,2,5,3,5,5,1,2,1,1,3,5,2,3,4,5,4,3,2,5,5,2,5,2,1,7,6,4,7,6,2,5,3,22,"White/Caucasian/European American","","Male","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",8,7,"Upper-Middleincome","over
$100,000","Yes","Lowerincome","$20,001 -
$30,000","Yes","Making decisions after looking at peoples' faces","2",8,3,1,0,0,0,0
